"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","","Todd Gurley","LAR","RB1","12","1","2","1.3","0.5","1.0","0.0"
"2","","Le'Veon Bell","PIT","RB2","7","1","2","1.7","0.5","2.0","0.0"
"3","","David Johnson","ARI","RB3","9","3","3","3.0","0.0","3.0","0.0"
"4","","Antonio Brown","PIT","WR1","7","4","7","5.0","1.4","5.0","+1.0"
"5","","Ezekiel Elliott","DAL","RB4","8","4","6","5.3","0.9","4.0","-1.0"
"6","","Alvin Kamara","NO","RB5","6","5","8","6.0","1.4","6.0","0.0"
"7","","DeAndre Hopkins","HOU","WR2","10","7","10","8.7","1.2","8.0","+1.0"
"8","","Julio Jones","ATL","WR3","8","5","12","9.0","2.9","13.0","+5.0"
"9","","Saquon Barkley","NYG","RB6","9","6","14","9.3","3.4","7.0","-2.0"
"10","","Odell Beckham Jr.","NYG","WR4","9","7","13","9.7","2.5","11.0","+1.0"
"11","","Melvin Gordon","LAC","RB7","8","8","12","10.3","1.7","12.0","+1.0"
"12","","Kareem Hunt","KC","RB8","12","9","16","12.3","2.9","9.0","-3.0"
"13","","Michael Thomas","NO","WR5","6","10","16","13.0","2.4","16.0","+3.0"
"14","","Leonard Fournette","JAC","RB9","9","11","18","13.3","3.3","10.0","-4.0"
"15","","Keenan Allen","LAC","WR6","8","13","17","15.3","1.7","17.0","+2.0"
"16","","A.J. Green","CIN","WR7","9","14","20","16.3","2.6","20.0","+4.0"
"17","","Dalvin Cook","MIN","RB10","10","14","20","17.0","2.4","14.0","-3.0"
"18","","Christian McCaffrey","CAR","RB11","4","15","23","17.7","3.8","15.0","-3.0"
"19","","Davante Adams","GB","WR8","7","17","19","18.0","0.8","18.0","-1.0"
"20","","Devonta Freeman","ATL","RB12","8","18","22","20.0","1.6","19.0","-1.0"
"21","","Joe Mixon","CIN","RB13","9","24","25","24.3","0.5","24.0","+3.0"
"22","","Mike Evans","TB","WR9","5","19","29","24.7","4.2","22.0","0.0"
"23","","Rob Gronkowski","NE","TE1","11","23","27","25.0","1.6","21.0","-2.0"
"24","","Adam Thielen","MIN","WR10","10","19","29","25.3","4.5","31.0","+7.0"
"25","","T.Y. Hilton","IND","WR11","9","23","31","27.0","3.3","28.0","+3.0"
"26","","Larry Fitzgerald","ARI","WR12","9","22","31","27.7","4.0","32.0","+6.0"
"27","","Doug Baldwin","SEA","WR13","7","21","34","29.0","5.7","36.0","+9.0"
"28","","Amari Cooper","OAK","WR14","7","26","32","29.0","2.4","33.0","+5.0"
"29","","Stefon Diggs","MIN","WR15","10","21","37","29.3","6.5","30.0","+1.0"
"30","","Jordan Howard","CHI","RB14","5","28","33","29.7","2.4","23.0","-7.0"
"31","","Kenyan Drake","MIA","RB15","11","25","37","31.7","5.0","35.0","+4.0"
"32","","Tyreek Hill","KC","WR16","12","24","43","32.7","7.8","25.0","-7.0"
"33","","LeSean McCoy","BUF","RB16","11","21","51","34.0","12.6","27.0","-6.0"
"34","","Aaron Rodgers","GB","QB1","7","34","39","36.0","2.2","29.0","-5.0"
"35","","Golden Tate","DET","WR17","6","36","38","37.3","0.9","44.0","+9.0"
"36","","Alex Collins","BAL","RB17","10","34","46","38.7","5.2","37.0","+1.0"
"37","","Allen Robinson","CHI","WR18","5","35","45","39.0","4.3","46.0","+9.0"
"38","","Travis Kelce","KC","TE2","12","26","54","40.3","11.4","26.0","-12.0"
"39","","Demaryius Thomas","DEN","WR19","10","39","47","42.0","3.6","40.0","+1.0"
"40","","Zach Ertz","PHI","TE3","9","35","51","42.3","6.6","34.0","-6.0"
"41","","Russell Wilson","SEA","QB2","7","36","53","43.0","7.3","52.0","+11.0"
"42","","Marvin Jones","DET","WR20","6","32","55","43.7","9.4","53.0","+11.0"
"43","","JuJu Smith-Schuster","PIT","WR21","7","42","46","44.0","1.6","42.0","-1.0"
"44","","Royce Freeman","DEN","RB18","10","33","63","45.0","13.0","41.0","-3.0"
"45","","Cam Newton","CAR","QB3","4","40","52","46.7","5.0","60.0","+15.0"
"46","","Lamar Miller","HOU","RB19","10","41","53","47.3","4.9","49.0","+3.0"
"47","","Jarvis Landry","CLE","WR22","11","38","56","47.7","7.4","38.0","-9.0"
"48","","Chris Hogan","NE","WR23","11","42","52","48.3","4.5","55.0","+7.0"
"49","","Jay Ajayi","PHI","RB20","9","49","57","51.7","3.8","45.0","-4.0"
"50","","Tom Brady","NE","QB4","11","44","73","54.0","13.4","50.0","0.0"
"51","","Deshaun Watson","HOU","QB5","10","42","62","54.3","8.8","47.0","-4.0"
"52","","Emmanuel Sanders","DEN","WR24","10","45","61","55.0","7.1","64.0","+12.0"
"53","","Marshawn Lynch","OAK","RB21","7","43","62","55.3","8.7","59.0","+6.0"
"54","","Derrick Henry","TEN","RB22","8","47","75","58.3","12.0","39.0","-15.0"
"55","","Sammy Watkins","KC","WR25","12","58","65","61.0","2.9","76.0","+21.0"
"56","","Rex Burkhead","NE","RB23","11","60","62","61.0","0.8","68.0","+12.0"
"57","","Dion Lewis","TEN","RB24","8","46","77","63.0","12.8","57.0","0.0"
"58","","Brandin Cooks","LAR","WR26","12","50","85","63.0","15.6","43.0","-15.0"
"59","","Michael Crabtree","BAL","WR27","10","55","84","65.3","13.2","61.0","+2.0"
"60","","Josh Gordon","CLE","WR28","11","43","81","65.7","16.4","48.0","-12.0"
"61","","Corey Davis","TEN","WR29","8","50","92","66.0","18.5","58.0","-3.0"
"62","","Tevin Coleman","ATL","RB25","8","64","69","67.0","2.2","67.0","+5.0"
"63","","Robby Anderson","NYJ","WR30","11","66","70","68.0","1.6","89.0","+26.0"
"64","","Drew Brees","NO","QB6","6","54","80","68.7","10.9","70.0","+6.0"
"65","","Mark Ingram","NO ","RB26","6","58","88","68.7","13.7","51.0","-14.0"
"66","","Matthew Stafford","DET","QB7","6","65","79","70.3","6.2","97.0","+31.0"
"67","","Cooper Kupp","LAR","WR31","12","63","83","71.0","8.6","86.0","+19.0"
"68","","Marquise Goodwin","SF","WR32","11","55","98","73.0","18.2","65.0","-3.0"
"69","","Randall Cobb","GB","WR33","7","68","77","73.0","3.7","95.0","+26.0"
